2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/11/24 14:49:24 [error] 3673#3673: *1 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/11/24 16:57:53 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:54 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:54 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:55 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:55 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:56 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:56 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:57 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:57:57 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=537"
2017/11/24 16:58:00 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/11/24 16:58:22 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
2017/11/24 16:58:59 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
2017/11/24 16:59:00 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
2017/11/24 16:59:00 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
2017/11/24 16:59:01 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
2017/11/24 16:59:01 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
2017/11/24 16:59:02 [error] 3673#3673: *26 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/assets/bundle/app.js?v=5372"
